YEAR,ROUND,PICK,PLAYER,TEAM
2024,1,1,Dan,Chiefs
2024,1,2,Mike,Ravens
2024,1,3,Cameron,Eagles
2024,1,4,JP,Lions
2024,1,5,Jordan,49ers
2024,1,6,Alex,Cowboys
2024,1,7,Brandon,Bills
2024,1,8,Victoria,Bengals
2024,2,9,Victoria,Packers
2024,2,10,Brandon,Texans
2024,2,11,Alex,Jets
2024,2,12,Jordan,Dolphins
2024,2,13,JP,Jaguars
2024,2,14,Cameron,Browns
2024,2,15,Mike,Seahawks
2024,2,16,Dan,Falcons
2024,3,17,Dan,Rams
2024,3,18,Mike,Bears
2024,3,19,Cameron,Cardinals
2024,3,20,JP,Chargers
2024,3,21,Jordan,Steelers
2024,3,22,Alex,Colts
2024,3,23,Brandon,Saints
2024,3,24,Victoria,Vikings
2024,4,25,Victoria,Panthers
2024,4,26,Brandon,Buccaneers
2024,4,27,Alex,Commanders
2024,4,28,Jordan,Titans
2024,4,29,JP,Broncos
2024,4,30,Cameron,Raiders
2024,4,31,Mike,Patriots
2024,4,32,Dan,Giants
2023,1,1,Victoria,Chiefs
2023,1,2,Mike,Patriots
2023,1,3,JP,Jaguars
2023,1,4,Jordan,Bengals
2023,1,5,Alex,Eagles
2023,1,6,Jackson,49ers
2023,1,7,Brandon,Bills
2023,1,8,Dan,Cowboys
2023,2,9,Dan,Chargers
2023,2,10,Brandon,Ravens
2023,2,11,Jackson,Dolphins
2023,2,12,Alex,Jets
2023,2,13,Jordan,Saints
2023,2,14,JP,Falcons
2023,2,15,Mike,Titans
2023,2,16,Victoria,Lions
2023,3,17,Victoria,Browns
2023,3,18,Mike,Steelers
2023,3,19,JP,Packers
2023,3,20,Jordan,Broncos
2023,3,21,Alex,Seahawks
2023,3,22,Jackson,Vikings
2023,3,23,Brandon,Giants
2023,3,24,Dan,Bears
2023,4,25,Dan,Commanders
2023,4,26,Brandon,Raiders
2023,4,27,Jackson,Panthers
2023,4,28,Alex,Rams
2023,4,29,Jordan,Texans
2023,4,30,JP,Buccaneers
2023,4,31,Mike,Colts
2023,4,32,Victoria,Cardinals
2022,1,1,Dan,NoPoolIn2022
2022,1,2,Brandon,NoPoolIn2022
2022,1,3,JP,NoPoolIn2022
2022,1,4,Jordan,NoPoolIn2022
2022,1,5,Mike,NoPoolIn2022
2022,1,6,Jackson,NoPoolIn2022
2022,1,7,Alex,NoPoolIn2022
2022,2,8,Alex,NoPoolIn2022
2022,2,9,Jackson,NoPoolIn2022
2022,2,10,Mike,NoPoolIn2022
2022,2,11,Jordan,NoPoolIn2022
2022,2,12,JP,NoPoolIn2022
2022,2,13,Brandon,NoPoolIn2022
2022,2,14,Dan,NoPoolIn2022
2022,3,15,Dan,NoPoolIn2022
2022,3,16,Brandon,NoPoolIn2022
2022,3,17,JP,NoPoolIn2022
2022,3,18,Jordan,NoPoolIn2022
2022,3,19,Mike,NoPoolIn2022
2022,3,20,Jackson,NoPoolIn2022
2022,3,21,Alex,NoPoolIn2022
2022,4,22,Alex,NoPoolIn2022
2022,4,23,Jackson,NoPoolIn2022
2022,4,24,Mike,NoPoolIn2022
2022,4,25,Jordan,NoPoolIn2022
2022,4,26,JP,NoPoolIn2022
2022,4,27,Brandon,NoPoolIn2022
2022,4,28,Dan,NoPoolIn2022
2022,99,29,LEFTOVER,NoPoolIn2022
2022,99,30,LEFTOVER,NoPoolIn2022
2022,99,31,LEFTOVER,NoPoolIn2022
2022,99,32,LEFTOVER,NoPoolIn2022
2021,1,1,Dan,Buccaneers
2021,1,2,Brandon,Chiefs
2021,1,3,JP,Bills
