Year,League,Scope,Team,Team_Name,Win,Loss,Tie,Games_Played,Win%,Points_For,Points_Against,Points_For/Gm,Points_Against/Gm,Playoff_Seed,Division,Conference,Division_Record,Conference_Record
2024,NFL,Post_Ssn,Philadelphia Eagles,Eagles,18,3,0,21,0.857,145,77,6.9,3.7,missing,NFC East,NFC,missing,missing
2024,NFL,Post_Ssn,Kansas City Chiefs,Chiefs,17,3,0,20,0.85,77,83,3.8,4.2,missing,AFC West,AFC,missing,missing
2024,NFL,Post_Ssn,Detroit Lions,Lions,15,3,0,18,0.833,31,45,1.7,2.5,missing,NFC North,NFC,missing,missing
2024,NFL,Post_Ssn,Minnesota Vikings,Vikings,14,4,0,18,0.778,9,27,0.5,1.5,missing,NFC North,NFC,missing,missing
2024,NFL,Post_Ssn,Buffalo Bills,Bills,15,5,0,20,0.75,87,64,4.4,3.2,missing,AFC East,AFC,missing,missing
2024,NFL,Post_Ssn,Washington Redskins,Redskins,14,6,0,20,0.7,91,106,4.6,5.3,missing,NFC East,NFC,missing,missing
2024,NFL,Post_Ssn,Baltimore Ravens,Ravens,13,6,0,19,0.684,53,41,2.8,2.2,missing,AFC North,AFC,missing,missing
2024,NFL,Post_Ssn,Los Angeles Chargers,Chargers,11,7,0,18,0.611,12,32,0.7,1.8,missing,AFC West,AFC,missing,missing
2024,NFL,Post_Ssn,Green Bay Packers,Packers,11,7,0,18,0.611,10,22,0.6,1.2,missing,NFC North,NFC,missing,missing
2024,NFL,Post_Ssn,Los Angeles Rams,Rams,11,8,0,19,0.579,49,37,2.6,1.9,missing,NFC West,NFC,missing,missing
2024,NFL,Post_Ssn,Houston Texans,Texans,11,8,0,19,0.579,46,35,2.4,1.8,missing,AFC South,AFC,missing,missing
2024,NFL,Post_Ssn,Tampa Bay Buccaneers,Buccaneers,10,8,0,18,0.556,20,23,1.1,1.3,missing,NFC South,NFC,missing,missing
2024,NFL,Post_Ssn,Pittsburgh Steelers,Steelers,10,8,0,18,0.556,14,28,0.8,1.6,missing,AFC North,AFC,missing,missing
2024,NFL,Post_Ssn,Denver Broncos,Broncos,10,8,0,18,0.556,7,31,0.4,1.7,missing,AFC West,AFC,missing,missing
2023,NFL,Post_Ssn,Baltimore Ravens,Ravens,14,5,0,19,0.737,44,27,2.3,1.4,missing,AFC North,AFC,missing,missing
2023,NFL,Post_Ssn,Kansas City Chiefs,Chiefs,15,6,0,21,0.714,95,63,4.5,3.0,missing,AFC West,AFC,missing,missing
2023,NFL,Post_Ssn,Detroit Lions,Lions,14,6,0,20,0.7,86,80,4.3,4.0,missing,NFC North,NFC,missing,missing
2023,NFL,Post_Ssn,San Francisco 49ers,49ers,14,6,0,20,0.7,80,77,4.0,3.8,missing,NFC West,NFC,missing,missing
2023,NFL,Post_Ssn,Dallas Cowboys,Cowboys,12,6,0,18,0.667,32,48,1.8,2.7,missing,NFC East,NFC,missing,missing
2023,NFL,Post_Ssn,Buffalo Bills,Bills,12,7,0,19,0.632,55,44,2.9,2.3,missing,AFC East,AFC,missing,missing
2023,NFL,Post_Ssn,Cleveland Browns,Browns,11,7,0,18,0.611,14,45,0.8,2.5,missing,AFC North,AFC,missing,missing
2023,NFL,Post_Ssn,Philadelphia Eagles,Eagles,11,7,0,18,0.611,9,32,0.5,1.8,missing,NFC East,NFC,missing,missing
2023,NFL,Post_Ssn,Miami Dolphins,Dolphins,11,7,0,18,0.611,7,26,0.4,1.4,missing,AFC East,AFC,missing,missing
2023,NFL,Post_Ssn,Houston Texans,Texans,11,8,0,19,0.579,55,48,2.9,2.5,missing,AFC South,AFC,missing,missing
2023,NFL,Post_Ssn,Los Angeles Rams,Rams,10,8,0,18,0.556,23,24,1.3,1.3,missing,NFC West,NFC,missing,missing
2023,NFL,Post_Ssn,Pittsburgh Steelers,Steelers,10,8,0,18,0.556,17,31,0.9,1.7,missing,AFC North,AFC,missing,missing
2023,NFL,Post_Ssn,Green Bay Packers,Packers,10,9,0,19,0.526,69,56,3.6,2.9,missing,NFC North,NFC,missing,missing
2023,NFL,Post_Ssn,Tampa Bay Buccaneers,Buccaneers,10,9,0,19,0.526,55,40,2.9,2.1,missing,NFC South,NFC,missing,missing
2022,NFL,Post_Ssn,Kansas City Chiefs,Chiefs,17,3,0,20,0.85,88,75,4.4,3.8,missing,AFC West,AFC,missing,missing
2022,NFL,Post_Ssn,Philadelphia Eagles,Eagles,16,4,0,20,0.8,104,52,5.2,2.6,missing,NFC East,NFC,missing,missing
2022,NFL,Post_Ssn,Buffalo Bills,Bills,14,4,0,18,0.778,44,58,2.4,3.2,missing,AFC East,AFC,missing,missing
2022,NFL,Post_Ssn,San Francisco 49ers,49ers,15,5,0,20,0.75,67,66,3.4,3.3,missing,NFC West,NFC,missing,missing
2022,NFL,Post_Ssn,Cincinnati Bengals,Bengals,14,5,0,19,0.737,71,50,3.7,2.6,missing,AFC North,AFC,missing,missing
2022,NFL,Post_Ssn,Minnesota Vikings,Vikings,13,5,0,18,0.722,24,31,1.3,1.7,missing,NFC North,NFC,missing,missing
2022,NFL,Post_Ssn,Dallas Cowboys,Cowboys,13,6,0,19,0.684,43,33,2.3,1.7,missing,NFC East,NFC,missing,missing
2022,NFL,Post_Ssn,Los Angeles Chargers,Chargers,10,8,0,18,0.556,30,31,1.7,1.7,missing,AFC West,AFC,missing,missing
2022,NFL,Post_Ssn,Baltimore Ravens,Ravens,10,8,0,18,0.556,17,24,0.9,1.3,missing,AFC North,AFC,missing,missing
2022,NFL,Post_Ssn,Jacksonville Jaguars,Jaguars,10,9,0,19,0.526,51,57,2.7,3.0,missing,AFC South,AFC,missing,missing
2022,NFL,Post_Ssn,New York Giants,Giants,10,8,1,19,0.526,38,62,2.0,3.3,missing,NFC East,NFC,missing,missing
2022,NFL,Post_Ssn,Miami Dolphins,Dolphins,9,9,0,18,0.5,31,34,1.7,1.9,missing,AFC East,AFC,missing,missing
2022,NFL,Post_Ssn,Seattle Seahawks,Seahawks,9,9,0,18,0.5,23,41,1.3,2.3,missing,NFC West,NFC,missing,missing
2022,NFL,Post_Ssn,Tampa Bay Buccaneers,Buccaneers,8,10,0,18,0.444,14,31,0.8,1.7,missing,NFC South,NFC,missing,missing
2021,NFL,Post_Ssn,Los Angeles Rams,Rams,16,5,0,21,0.762,107,75,5.1,3.6,missing,NFC West,NFC,missing,missing
2021,NFL,Post_Ssn,Tampa Bay Buccaneers,Buccaneers,14,5,0,19,0.737,58,45,3.1,2.4,missing,NFC South,NFC,missing,missing
2021,NFL,Post_Ssn,Green Bay Packers,Packers,13,5,0,18,0.722,10,13,0.6,0.7,missing,NFC North,NFC,missing,missing
2021,NFL,Post_Ssn,Kansas City Chiefs,Chiefs,14,6,0,20,0.7,108,84,5.4,4.2,missing,AFC West,AFC,missing,missing
2021,NFL,Post_Ssn,Dallas Cowboys,Cowboys,12,6,0,18,0.667,17,23,0.9,1.3,missing,NFC East,NFC,missing,missing
2021,NFL,Post_Ssn,Tennessee Titans,Titans,12,6,0,18,0.667,16,19,0.9,1.1,missing,AFC South,AFC,missing,missing
2021,NFL,Post_Ssn,Buffalo Bills,Bills,12,7,0,19,0.632,83,59,4.4,3.1,missing,AFC East,AFC,missing,missing
2021,NFL,Post_Ssn,Cincinnati Bengals,Bengals,13,8,0,21,0.619,92,82,4.4,3.9,missing,AFC North,AFC,missing,missing
2021,NFL,Post_Ssn,Arizona Cardinals,Cardinals,11,7,0,18,0.611,11,34,0.6,1.9,missing,NFC West,NFC,missing,missing
2021,NFL,Post_Ssn,San Francisco 49ers,49ers,12,8,0,20,0.6,53,47,2.6,2.4,missing,NFC West,NFC,missing,missing
2021,NFL,Post_Ssn,Las Vegas Raiders,Raiders,10,8,0,18,0.556,19,26,1.1,1.4,missing,AFC West,AFC,missing,missing
2021,NFL,Post_Ssn,New England Patriots,Patriots,10,8,0,18,0.556,17,47,0.9,2.6,missing,AFC East,AFC,missing,missing
2021,NFL,Post_Ssn,Pittsburgh Steelers,Steelers,9,8,1,18,0.5,21,42,1.2,2.3,missing,AFC North,AFC,missing,missing
2021,NFL,Post_Ssn,Philadelphia Eagles,Eagles,9,9,0,18,0.5,15,31,0.8,1.7,missing,NFC East,NFC,missing,missing
2020,NFL,Post_Ssn,Kansas City Chiefs,Chiefs,16,3,0,19,0.842,69,72,3.6,3.8,missing,AFC West,AFC,missing,missing
2020,NFL,Post_Ssn,Buffalo Bills,Bills,15,4,0,19,0.789,68,65,3.6,3.4,missing,AFC East,AFC,missing,missing
2020,NFL,Post_Ssn,Green Bay Packers,Packers,14,4,0,18,0.778,58,49,3.2,2.7,missing,NFC North,NFC,missing,missing
2020,NFL,Post_Ssn,Tampa Bay Buccaneers,Buccaneers,15,5,0,20,0.75,123,78,6.2,3.9,missing,NFC South,NFC,missing,missing
2020,NFL,Post_Ssn,New Orleans Saints,Saints,13,5,0,18,0.722,41,39,2.3,2.2,missing,NFC South,NFC,missing,missing
2020,NFL,Post_Ssn,Pittsburgh Steelers,Steelers,12,5,0,17,0.706,37,48,2.2,2.8,missing,AFC North,AFC,missing,missing
2020,NFL,Post_Ssn,Seattle Seahawks,Seahawks,12,5,0,17,0.706,20,30,1.2,1.8,missing,NFC West,NFC,missing,missing
2020,NFL,Post_Ssn,Cleveland Browns,Browns,12,6,0,18,0.667,65,59,3.6,3.3,missing,AFC North,AFC,missing,missing
2020,NFL,Post_Ssn,Baltimore Ravens,Ravens,12,6,0,18,0.667,23,30,1.3,1.7,missing,AFC North,AFC,missing,missing
2020,NFL,Post_Ssn,Indianapolis Colts,Colts,11,6,0,17,0.647,24,27,1.4,1.6,missing,AFC South,AFC,missing,missing
2020,NFL,Post_Ssn,Tennessee Titans,Titans,11,6,0,17,0.647,13,20,0.8,1.2,missing,AFC South,AFC,missing,missing
2020,NFL,Post_Ssn,Los Angeles Rams,Rams,11,7,0,18,0.611,48,52,2.7,2.9,missing,NFC West,NFC,missing,missing
2020,NFL,Post_Ssn,Chicago Bears,Bears,8,9,0,17,0.471,9,21,0.5,1.2,missing,NFC North,NFC,missing,missing
2020,NFL,Post_Ssn,Washington Redskins,Redskins,7,10,0,17,0.412,23,31,1.4,1.8,missing,NFC East,NFC,missing,missing
2019,NFL,Post_Ssn,Baltimore Ravens,Ravens,14,3,0,17,0.824,12,28,0.7,1.6,missing,AFC North,AFC,missing,missing
2019,NFL,Post_Ssn,Kansas City Chiefs,Chiefs,15,4,0,19,0.789,117,75,6.2,3.9,missing,AFC West,AFC,missing,missing
2019,NFL,Post_Ssn,San Francisco 49ers,49ers,15,4,0,19,0.789,84,61,4.4,3.2,missing,NFC West,NFC,missing,missing
2019,NFL,Post_Ssn,Green Bay Packers,Packers,14,4,0,18,0.778,48,60,2.7,3.3,missing,NFC North,NFC,missing,missing
2019,NFL,Post_Ssn,New Orleans Saints,Saints,13,4,0,17,0.765,20,26,1.2,1.5,missing,NFC South,NFC,missing,missing
2019,NFL,Post_Ssn,New England Patriots,Patriots,12,5,0,17,0.706,13,20,0.8,1.2,missing,AFC East,AFC,missing,missing
2019,NFL,Post_Ssn,Seattle Seahawks,Seahawks,12,6,0,18,0.667,40,37,2.2,2.1,missing,NFC West,NFC,missing,missing
2019,NFL,Post_Ssn,Houston Texans,Texans,11,7,0,18,0.611,53,70,2.9,3.9,missing,AFC South,AFC,missing,missing
2019,NFL,Post_Ssn,Minnesota Vikings,Vikings,11,7,0,18,0.611,36,47,2.0,2.6,missing,NFC North,NFC,missing,missing
2019,NFL,Post_Ssn,Buffalo Bills,Bills,10,7,0,17,0.588,19,22,1.1,1.3,missing,AFC East,AFC,missing,missing
2019,NFL,Post_Ssn,Tennessee Titans,Titans,11,8,0,19,0.579,72,60,3.8,3.2,missing,AFC South,AFC,missing,missing
2019,NFL,Post_Ssn,Philadelphia Eagles,Eagles,9,8,0,17,0.529,9,17,0.5,1.0,missing,NFC East,NFC,missing,missing
2018,NFL,Post_Ssn,Los Angeles Rams,Rams,15,4,0,19,0.789,59,58,3.1,3.1,missing,NFC West,NFC,missing,missing
2018,NFL,Post_Ssn,New Orleans Saints,Saints,14,4,0,18,0.778,43,40,2.4,2.2,missing,NFC South,NFC,missing,missing
2018,NFL,Post_Ssn,New England Patriots,Patriots,14,5,0,19,0.737,91,62,4.8,3.3,missing,AFC East,AFC,missing,missing
2018,NFL,Post_Ssn,Kansas City Chiefs,Chiefs,13,5,0,18,0.722,62,50,3.4,2.8,missing,AFC West,AFC,missing,missing
2018,NFL,Post_Ssn,Los Angeles Chargers,Chargers,13,5,0,18,0.722,51,58,2.8,3.2,missing,AFC West,AFC,missing,missing
2018,NFL,Post_Ssn,Chicago Bears,Bears,12,5,0,17,0.706,15,16,0.9,0.9,missing,NFC North,NFC,missing,missing
2018,NFL,Post_Ssn,Houston Texans,Texans,11,6,0,17,0.647,7,21,0.4,1.2,missing,AFC South,AFC,missing,missing
2018,NFL,Post_Ssn,Dallas Cowboys,Cowboys,11,7,0,18,0.611,46,52,2.6,2.9,missing,NFC East,NFC,missing,missing
2018,NFL,Post_Ssn,Indianapolis Colts,Colts,11,7,0,18,0.611,34,38,1.9,2.1,missing,AFC South,AFC,missing,missing
2018,NFL,Post_Ssn,Seattle Seahawks,Seahawks,10,7,0,17,0.588,22,24,1.3,1.4,missing,NFC West,NFC,missing,missing
2018,NFL,Post_Ssn,Baltimore Ravens,Ravens,10,7,0,17,0.588,17,23,1.0,1.4,missing,AFC North,AFC,missing,missing
2018,NFL,Post_Ssn,Philadelphia Eagles,Eagles,10,8,0,18,0.556,30,35,1.7,1.9,missing,NFC East,NFC,missing,missing
2017,NFL,Post_Ssn,Philadelphia Eagles,Eagles,16,3,0,19,0.842,94,50,4.9,2.6,missing,NFC East,NFC,missing,missing
2017,NFL,Post_Ssn,New England Patriots,Patriots,15,4,0,19,0.789,92,75,4.8,3.9,missing,AFC East,AFC,missing,missing
2017,NFL,Post_Ssn,Minnesota Vikings,Vikings,14,4,0,18,0.778,36,62,2.0,3.4,missing,NFC North,NFC,missing,missing
2017,NFL,Post_Ssn,Pittsburgh Steelers,Steelers,13,4,0,17,0.765,42,45,2.5,2.6,missing,AFC North,AFC,missing,missing
2017,NFL,Post_Ssn,New Orleans Saints,Saints,12,6,0,18,0.667,55,55,3.1,3.1,missing,NFC South,NFC,missing,missing
2017,NFL,Post_Ssn,Carolina Panthers,Panthers,11,6,0,17,0.647,26,31,1.5,1.8,missing,NFC South,NFC,missing,missing
2017,NFL,Post_Ssn,Los Angeles Rams,Rams,11,6,0,17,0.647,13,26,0.8,1.5,missing,NFC West,NFC,missing,missing
2017,NFL,Post_Ssn,Jacksonville Jaguars,Jaguars,12,7,0,19,0.632,75,69,3.9,3.6,missing,AFC South,AFC,missing,missing
2017,NFL,Post_Ssn,Atlanta Falcons,Falcons,11,7,0,18,0.611,36,28,2.0,1.6,missing,NFC South,NFC,missing,missing
2017,NFL,Post_Ssn,Kansas City Chiefs,Chiefs,10,7,0,17,0.588,21,22,1.2,1.3,missing,AFC West,AFC,missing,missing
2017,NFL,Post_Ssn,Tennessee Titans,Titans,10,8,0,18,0.556,36,56,2.0,3.1,missing,AFC South,AFC,missing,missing
2017,NFL,Post_Ssn,Buffalo Bills,Bills,9,8,0,17,0.529,3,10,0.2,0.6,missing,AFC East,AFC,missing,missing
