Year,League,Scope,Team,Team_Name,Win,Loss,Tie,Games_Played,Win%,Points_For,Points_Against,Points_For/Gm,Points_Against/Gm,Playoff_Seed,Division,Conference,Division_Record,Conference_Record
2025,NFL,Reg_Post,Philadelphia Eagles,Eagles,1,0,0,1,1.0,24,20,24.0,20.0,missing,NFC East,NFC,missing,missing
2025,NFL,Reg_Post,Dallas Cowboys,Cowboys,0,1,0,1,0.0,20,24,20.0,24.0,missing,NFC East,NFC,missing,missing
2024,NFL,Reg_Post,Philadelphia Eagles,Eagles,18,3,0,21,0.857,608,380,29.0,18.1,missing,NFC East,NFC,missing,missing
2024,NFL,Reg_Post,Kansas City Chiefs,Chiefs,17,3,0,20,0.85,462,409,23.1,20.4,missing,AFC West,AFC,missing,missing
2024,NFL,Reg_Post,Detroit Lions,Lions,15,3,0,18,0.833,595,387,33.1,21.5,missing,NFC North,NFC,missing,missing
2024,NFL,Reg_Post,Minnesota Vikings,Vikings,14,4,0,18,0.778,441,359,24.5,19.9,missing,NFC North,NFC,missing,missing
2024,NFL,Reg_Post,Buffalo Bills,Bills,15,5,0,20,0.75,612,432,30.6,21.6,missing,AFC East,AFC,missing,missing
2024,NFL,Reg_Post,Washington Redskins,Redskins,14,6,0,20,0.7,576,497,28.8,24.8,missing,NFC East,NFC,missing,missing
2024,NFL,Reg_Post,Baltimore Ravens,Ravens,13,6,0,19,0.684,571,402,30.1,21.2,missing,AFC North,AFC,missing,missing
2024,NFL,Reg_Post,Green Bay Packers,Packers,11,7,0,18,0.611,470,360,26.1,20.0,missing,NFC North,NFC,missing,missing
2024,NFL,Reg_Post,Los Angeles Chargers,Chargers,11,7,0,18,0.611,414,333,23.0,18.5,missing,AFC West,AFC,missing,missing
2024,NFL,Reg_Post,Seattle Seahawks,Seahawks,10,7,0,17,0.588,375,368,22.1,21.6,missing,NFC West,NFC,missing,missing
2024,NFL,Reg_Post,Houston Texans,Texans,11,8,0,19,0.579,418,407,22.0,21.4,missing,AFC South,AFC,missing,missing
2024,NFL,Reg_Post,Los Angeles Rams,Rams,11,8,0,19,0.579,416,423,21.9,22.3,missing,NFC West,NFC,missing,missing
2024,NFL,Reg_Post,Tampa Bay Buccaneers,Buccaneers,10,8,0,18,0.556,522,408,29.0,22.7,missing,NFC South,NFC,missing,missing
2024,NFL,Reg_Post,Denver Broncos,Broncos,10,8,0,18,0.556,432,342,24.0,19.0,missing,AFC West,AFC,missing,missing
2024,NFL,Reg_Post,Pittsburgh Steelers,Steelers,10,8,0,18,0.556,394,375,21.9,20.8,missing,AFC North,AFC,missing,missing
2024,NFL,Reg_Post,Cincinnati Bengals,Bengals,9,8,0,17,0.529,472,434,27.8,25.5,missing,AFC North,AFC,missing,missing
2024,NFL,Reg_Post,Arizona Cardinals,Cardinals,8,9,0,17,0.471,400,379,23.5,22.3,missing,NFC West,NFC,missing,missing
2024,NFL,Reg_Post,Atlanta Falcons,Falcons,8,9,0,17,0.471,389,423,22.9,24.9,missing,NFC South,NFC,missing,missing
2024,NFL,Reg_Post,Indianapolis Colts,Colts,8,9,0,17,0.471,377,427,22.2,25.1,missing,AFC South,AFC,missing,missing
2024,NFL,Reg_Post,Miami Dolphins,Dolphins,8,9,0,17,0.471,345,364,20.3,21.4,missing,AFC East,AFC,missing,missing
2024,NFL,Reg_Post,Dallas Cowboys,Cowboys,7,10,0,17,0.412,350,468,20.6,27.5,missing,NFC East,NFC,missing,missing
2024,NFL,Reg_Post,San Francisco 49ers,49ers,6,11,0,17,0.353,389,436,22.9,25.6,missing,NFC West,NFC,missing,missing
2024,NFL,Reg_Post,Carolina Panthers,Panthers,5,12,0,17,0.294,341,534,20.1,31.4,missing,NFC South,NFC,missing,missing
2024,NFL,Reg_Post,New York Jets,Jets,5,12,0,17,0.294,338,404,19.9,23.8,missing,AFC East,AFC,missing,missing
2024,NFL,Reg_Post,New Orleans Saints,Saints,5,12,0,17,0.294,338,398,19.9,23.4,missing,NFC South,NFC,missing,missing
2024,NFL,Reg_Post,Chicago Bears,Bears,5,12,0,17,0.294,310,370,18.2,21.8,missing,NFC North,NFC,missing,missing
2024,NFL,Reg_Post,Jacksonville Jaguars,Jaguars,4,13,0,17,0.235,320,435,18.8,25.6,missing,AFC South,AFC,missing,missing
2024,NFL,Reg_Post,Las Vegas Raiders,Raiders,4,13,0,17,0.235,309,434,18.2,25.5,missing,AFC West,AFC,missing,missing
2024,NFL,Reg_Post,New England Patriots,Patriots,4,13,0,17,0.235,289,417,17.0,24.5,missing,AFC East,AFC,missing,missing
2024,NFL,Reg_Post,Tennessee Titans,Titans,3,14,0,17,0.176,311,460,18.3,27.1,missing,AFC South,AFC,missing,missing
2024,NFL,Reg_Post,New York Giants,Giants,3,14,0,17,0.176,273,415,16.1,24.4,missing,NFC East,NFC,missing,missing
2024,NFL,Reg_Post,Cleveland Browns,Browns,3,14,0,17,0.176,258,435,15.2,25.6,missing,AFC North,AFC,missing,missing
2023,NFL,Reg_Post,Baltimore Ravens,Ravens,14,5,0,19,0.737,527,307,27.7,16.2,missing,AFC North,AFC,missing,missing
2023,NFL,Reg_Post,Kansas City Chiefs,Chiefs,15,6,0,21,0.714,466,357,22.2,17.0,missing,AFC West,AFC,missing,missing
2023,NFL,Reg_Post,San Francisco 49ers,49ers,14,6,0,20,0.7,571,375,28.6,18.8,missing,NFC West,NFC,missing,missing
2023,NFL,Reg_Post,Detroit Lions,Lions,14,6,0,20,0.7,547,475,27.4,23.8,missing,NFC North,NFC,missing,missing
2023,NFL,Reg_Post,Dallas Cowboys,Cowboys,12,6,0,18,0.667,541,363,30.1,20.2,missing,NFC East,NFC,missing,missing
2023,NFL,Reg_Post,Buffalo Bills,Bills,12,7,0,19,0.632,506,355,26.6,18.7,missing,AFC East,AFC,missing,missing
2023,NFL,Reg_Post,Miami Dolphins,Dolphins,11,7,0,18,0.611,503,417,27.9,23.2,missing,AFC East,AFC,missing,missing
2023,NFL,Reg_Post,Philadelphia Eagles,Eagles,11,7,0,18,0.611,442,460,24.6,25.6,missing,NFC East,NFC,missing,missing
2023,NFL,Reg_Post,Cleveland Browns,Browns,11,7,0,18,0.611,410,407,22.8,22.6,missing,AFC North,AFC,missing,missing
2023,NFL,Reg_Post,Houston Texans,Texans,11,8,0,19,0.579,432,401,22.7,21.1,missing,AFC South,AFC,missing,missing
2023,NFL,Reg_Post,Los Angeles Rams,Rams,10,8,0,18,0.556,427,401,23.7,22.3,missing,NFC West,NFC,missing,missing
2023,NFL,Reg_Post,Pittsburgh Steelers,Steelers,10,8,0,18,0.556,321,355,17.8,19.7,missing,AFC North,AFC,missing,missing
2023,NFL,Reg_Post,New Orleans Saints,Saints,9,8,0,17,0.529,402,327,23.6,19.2,missing,NFC South,NFC,missing,missing
2023,NFL,Reg_Post,Indianapolis Colts,Colts,9,8,0,17,0.529,396,415,23.3,24.4,missing,AFC South,AFC,missing,missing
2023,NFL,Reg_Post,Jacksonville Jaguars,Jaguars,9,8,0,17,0.529,377,371,22.2,21.8,missing,AFC South,AFC,missing,missing
2023,NFL,Reg_Post,Cincinnati Bengals,Bengals,9,8,0,17,0.529,366,384,21.5,22.6,missing,AFC North,AFC,missing,missing
2023,NFL,Reg_Post,Seattle Seahawks,Seahawks,9,8,0,17,0.529,364,402,21.4,23.6,missing,NFC West,NFC,missing,missing
2023,NFL,Reg_Post,Green Bay Packers,Packers,10,9,0,19,0.526,452,406,23.8,21.4,missing,NFC North,NFC,missing,missing
2023,NFL,Reg_Post,Tampa Bay Buccaneers,Buccaneers,10,9,0,19,0.526,403,365,21.2,19.2,missing,NFC South,NFC,missing,missing
2023,NFL,Reg_Post,Denver Broncos,Broncos,8,9,0,17,0.471,357,413,21.0,24.3,missing,AFC West,AFC,missing,missing
2023,NFL,Reg_Post,Las Vegas Raiders,Raiders,8,9,0,17,0.471,332,331,19.5,19.5,missing,AFC West,AFC,missing,missing
2023,NFL,Reg_Post,Chicago Bears,Bears,7,10,0,17,0.412,360,379,21.2,22.3,missing,NFC North,NFC,missing,missing
2023,NFL,Reg_Post,Minnesota Vikings,Vikings,7,10,0,17,0.412,344,362,20.2,21.3,missing,NFC North,NFC,missing,missing
2023,NFL,Reg_Post,Atlanta Falcons,Falcons,7,10,0,17,0.412,321,373,18.9,21.9,missing,NFC South,NFC,missing,missing
2023,NFL,Reg_Post,New York Jets,Jets,7,10,0,17,0.412,268,355,15.8,20.9,missing,AFC East,AFC,missing,missing
2023,NFL,Reg_Post,Tennessee Titans,Titans,6,11,0,17,0.353,305,367,17.9,21.6,missing,AFC South,AFC,missing,missing
2023,NFL,Reg_Post,New York Giants,Giants,6,11,0,17,0.353,266,407,15.6,23.9,missing,NFC East,NFC,missing,missing
2023,NFL,Reg_Post,Los Angeles Chargers,Chargers,5,12,0,17,0.294,346,398,20.4,23.4,missing,AFC West,AFC,missing,missing
2023,NFL,Reg_Post,Arizona Cardinals,Cardinals,4,13,0,17,0.235,330,455,19.4,26.8,missing,NFC West,NFC,missing,missing
2023,NFL,Reg_Post,Washington Redskins,Redskins,4,13,0,17,0.235,329,518,19.4,30.5,missing,NFC East,NFC,missing,missing
2023,NFL,Reg_Post,New England Patriots,Patriots,4,13,0,17,0.235,236,366,13.9,21.5,missing,AFC East,AFC,missing,missing
2023,NFL,Reg_Post,Carolina Panthers,Panthers,2,15,0,17,0.118,236,416,13.9,24.5,missing,NFC South,NFC,missing,missing
2022,NFL,Reg_Post,Kansas City Chiefs,Chiefs,17,3,0,20,0.85,584,444,29.2,22.2,missing,AFC West,AFC,missing,missing
2022,NFL,Reg_Post,Philadelphia Eagles,Eagles,16,4,0,20,0.8,581,396,29.0,19.8,missing,NFC East,NFC,missing,missing
2022,NFL,Reg_Post,Buffalo Bills,Bills,14,4,0,18,0.778,499,344,27.7,19.1,missing,AFC East,AFC,missing,missing
2022,NFL,Reg_Post,San Francisco 49ers,49ers,15,5,0,20,0.75,517,343,25.8,17.2,missing,NFC West,NFC,missing,missing
2022,NFL,Reg_Post,Cincinnati Bengals,Bengals,14,5,0,19,0.737,489,372,25.7,19.6,missing,AFC North,AFC,missing,missing
2022,NFL,Reg_Post,Minnesota Vikings,Vikings,13,5,0,18,0.722,448,458,24.9,25.4,missing,NFC North,NFC,missing,missing
2022,NFL,Reg_Post,Dallas Cowboys,Cowboys,13,6,0,19,0.684,510,375,26.8,19.7,missing,NFC East,NFC,missing,missing
2022,NFL,Reg_Post,Los Angeles Chargers,Chargers,10,8,0,18,0.556,421,415,23.4,23.1,missing,AFC West,AFC,missing,missing
2022,NFL,Reg_Post,Baltimore Ravens,Ravens,10,8,0,18,0.556,367,339,20.4,18.8,missing,AFC North,AFC,missing,missing
2022,NFL,Reg_Post,Detroit Lions,Lions,9,8,0,17,0.529,453,427,26.6,25.1,missing,NFC North,NFC,missing,missing
2022,NFL,Reg_Post,Pittsburgh Steelers,Steelers,9,8,0,17,0.529,308,346,18.1,20.4,missing,AFC North,AFC,missing,missing
2022,NFL,Reg_Post,Jacksonville Jaguars,Jaguars,10,9,0,19,0.526,455,407,23.9,21.4,missing,AFC South,AFC,missing,missing
2022,NFL,Reg_Post,New York Giants,Giants,10,8,1,19,0.526,403,433,21.2,22.8,missing,NFC East,NFC,missing,missing
2022,NFL,Reg_Post,Seattle Seahawks,Seahawks,9,9,0,18,0.5,430,442,23.9,24.6,missing,NFC West,NFC,missing,missing
2022,NFL,Reg_Post,Miami Dolphins,Dolphins,9,9,0,18,0.5,428,433,23.8,24.1,missing,AFC East,AFC,missing,missing
2022,NFL,Reg_Post,Green Bay Packers,Packers,8,9,0,17,0.471,370,371,21.8,21.8,missing,NFC North,NFC,missing,missing
2022,NFL,Reg_Post,New England Patriots,Patriots,8,9,0,17,0.471,364,347,21.4,20.4,missing,AFC East,AFC,missing,missing
2022,NFL,Reg_Post,Washington Redskins,Redskins,8,8,1,17,0.471,321,343,18.9,20.2,missing,NFC East,NFC,missing,missing
2022,NFL,Reg_Post,Tampa Bay Buccaneers,Buccaneers,8,10,0,18,0.444,327,389,18.2,21.6,missing,NFC South,NFC,missing,missing
2022,NFL,Reg_Post,Atlanta Falcons,Falcons,7,10,0,17,0.412,365,386,21.5,22.7,missing,NFC South,NFC,missing,missing
2022,NFL,Reg_Post,Cleveland Browns,Browns,7,10,0,17,0.412,361,381,21.2,22.4,missing,AFC North,AFC,missing,missing
2022,NFL,Reg_Post,Carolina Panthers,Panthers,7,10,0,17,0.412,347,374,20.4,22.0,missing,NFC South,NFC,missing,missing
2022,NFL,Reg_Post,New Orleans Saints,Saints,7,10,0,17,0.412,330,345,19.4,20.3,missing,NFC South,NFC,missing,missing
2022,NFL,Reg_Post,Tennessee Titans,Titans,7,10,0,17,0.412,298,359,17.5,21.1,missing,AFC South,AFC,missing,missing
2022,NFL,Reg_Post,New York Jets,Jets,7,10,0,17,0.412,296,316,17.4,18.6,missing,AFC East,AFC,missing,missing
2022,NFL,Reg_Post,Las Vegas Raiders,Raiders,6,11,0,17,0.353,395,418,23.2,24.6,missing,AFC West,AFC,missing,missing
2022,NFL,Reg_Post,Los Angeles Rams,Rams,5,12,0,17,0.294,307,384,18.1,22.6,missing,NFC West,NFC,missing,missing
2022,NFL,Reg_Post,Denver Broncos,Broncos,5,12,0,17,0.294,287,359,16.9,21.1,missing,AFC West,AFC,missing,missing
2022,NFL,Reg_Post,Arizona Cardinals,Cardinals,4,13,0,17,0.235,340,449,20.0,26.4,missing,NFC West,NFC,missing,missing
2022,NFL,Reg_Post,Indianapolis Colts,Colts,4,12,1,17,0.235,289,427,17.0,25.1,missing,AFC South,AFC,missing,missing
2022,NFL,Reg_Post,Chicago Bears,Bears,3,14,0,17,0.176,326,463,19.2,27.2,missing,NFC North,NFC,missing,missing
2022,NFL,Reg_Post,Houston Texans,Texans,3,13,1,17,0.176,289,420,17.0,24.7,missing,AFC South,AFC,missing,missing
2021,NFL,Reg_Post,Los Angeles Rams,Rams,16,5,0,21,0.762,567,447,27.0,21.3,missing,NFC West,NFC,missing,missing
2021,NFL,Reg_Post,Tampa Bay Buccaneers,Buccaneers,14,5,0,19,0.737,569,398,29.9,20.9,missing,NFC South,NFC,missing,missing
2021,NFL,Reg_Post,Green Bay Packers,Packers,13,5,0,18,0.722,460,384,25.6,21.3,missing,NFC North,NFC,missing,missing
2021,NFL,Reg_Post,Kansas City Chiefs,Chiefs,14,6,0,20,0.7,588,448,29.4,22.4,missing,AFC West,AFC,missing,missing
2021,NFL,Reg_Post,Dallas Cowboys,Cowboys,12,6,0,18,0.667,547,381,30.4,21.2,missing,NFC East,NFC,missing,missing
2021,NFL,Reg_Post,Tennessee Titans,Titans,12,6,0,18,0.667,435,373,24.2,20.7,missing,AFC South,AFC,missing,missing
2021,NFL,Reg_Post,Buffalo Bills,Bills,12,7,0,19,0.632,566,348,29.8,18.3,missing,AFC East,AFC,missing,missing
2021,NFL,Reg_Post,Cincinnati Bengals,Bengals,13,8,0,21,0.619,552,458,26.3,21.8,missing,AFC North,AFC,missing,missing
2021,NFL,Reg_Post,Arizona Cardinals,Cardinals,11,7,0,18,0.611,460,400,25.6,22.2,missing,NFC West,NFC,missing,missing
2021,NFL,Reg_Post,San Francisco 49ers,49ers,12,8,0,20,0.6,480,412,24.0,20.6,missing,NFC West,NFC,missing,missing
2021,NFL,Reg_Post,New England Patriots,Patriots,10,8,0,18,0.556,479,350,26.6,19.4,missing,AFC East,AFC,missing,missing
2021,NFL,Reg_Post,Las Vegas Raiders,Raiders,10,8,0,18,0.556,393,465,21.8,25.8,missing,AFC West,AFC,missing,missing
2021,NFL,Reg_Post,Los Angeles Chargers,Chargers,9,8,0,17,0.529,474,459,27.9,27.0,missing,AFC West,AFC,missing,missing
2021,NFL,Reg_Post,Indianapolis Colts,Colts,9,8,0,17,0.529,451,365,26.5,21.5,missing,AFC South,AFC,missing,missing
2021,NFL,Reg_Post,New Orleans Saints,Saints,9,8,0,17,0.529,364,335,21.4,19.7,missing,NFC South,NFC,missing,missing
2021,NFL,Reg_Post,Miami Dolphins,Dolphins,9,8,0,17,0.529,341,373,20.1,21.9,missing,AFC East,AFC,missing,missing
