Year,Round,Pick,Player,Team,Week,Wins,Games_Played,Week_Type
2019,1,1,JP,Patriots,1,1,1,RegSsn
2019,1,1,JP,Patriots,2,2,2,RegSsn
2019,1,1,JP,Patriots,3,3,3,RegSsn
2019,1,1,JP,Patriots,4,4,4,RegSsn
2019,1,1,JP,Patriots,5,5,5,RegSsn
2019,1,1,JP,Patriots,6,6,6,RegSsn
2019,1,1,JP,Patriots,7,7,7,RegSsn
2019,1,1,JP,Patriots,8,8,8,RegSsn
2019,1,1,JP,Patriots,10,8,9,Bye Week
2019,1,1,JP,Patriots,9,8,9,RegSsn
2019,1,1,JP,Patriots,11,9,10,RegSsn
2019,1,1,JP,Patriots,12,10,11,RegSsn
2019,1,1,JP,Patriots,13,10,12,RegSsn
2019,1,1,JP,Patriots,14,10,13,RegSsn
2019,1,1,JP,Patriots,15,11,14,RegSsn
2019,1,1,JP,Patriots,16,12,15,RegSsn
2019,1,1,JP,Patriots,17,12,16,RegSsn
2019,1,1,JP,Patriots,Wild Card,12,17,Playoffs
2019,1,2,Jackson,Rams,1,1,1,RegSsn
2019,1,2,Jackson,Rams,2,2,2,RegSsn
2019,1,2,Jackson,Rams,3,3,3,RegSsn
2019,1,2,Jackson,Rams,4,3,4,RegSsn
2019,1,2,Jackson,Rams,5,3,5,RegSsn
2019,1,2,Jackson,Rams,6,3,6,RegSsn
2019,1,2,Jackson,Rams,7,4,7,RegSsn
2019,1,2,Jackson,Rams,8,5,8,RegSsn
2019,1,2,Jackson,Rams,9,5,8,Bye Week
2019,1,2,Jackson,Rams,10,5,9,RegSsn
2019,1,2,Jackson,Rams,11,6,10,RegSsn
2019,1,2,Jackson,Rams,12,6,11,RegSsn
2019,1,2,Jackson,Rams,13,7,12,RegSsn
2019,1,2,Jackson,Rams,14,8,13,RegSsn
2019,1,2,Jackson,Rams,15,8,14,RegSsn
2019,1,2,Jackson,Rams,16,8,15,RegSsn
2019,1,2,Jackson,Rams,17,9,16,RegSsn
2019,1,3,Dan,Saints,1,1,1,RegSsn
2019,1,3,Dan,Saints,2,1,2,RegSsn
2019,1,3,Dan,Saints,3,2,3,RegSsn
2019,1,3,Dan,Saints,4,3,4,RegSsn
2019,1,3,Dan,Saints,5,4,5,RegSsn
2019,1,3,Dan,Saints,6,5,6,RegSsn
2019,1,3,Dan,Saints,7,6,7,RegSsn
2019,1,3,Dan,Saints,8,7,8,RegSsn
2019,1,3,Dan,Saints,9,7,8,Bye Week
2019,1,3,Dan,Saints,10,7,9,RegSsn
2019,1,3,Dan,Saints,11,8,10,RegSsn
2019,1,3,Dan,Saints,12,9,11,RegSsn
