Year,Player,Week,WoW_Wins,Week_Int
2020,Alex,1,0.0,1.0
2020,Alex,2,3.0,2.0
2020,Alex,3,3.0,3.0
2020,Alex,4,3.0,4.0
2020,Alex,5,1.0,5.0
2020,Alex,6,3.0,6.0
2020,Alex,7,1.0,7.0
2020,Alex,8,3.0,8.0
2020,Alex,9,1.0,9.0
2020,Alex,10,3.0,10.0
2020,Alex,11,3.0,11.0
2020,Alex,12,3.0,12.0
2020,Alex,13,3.0,13.0
2020,Alex,14,3.0,14.0
2020,Alex,15,3.0,15.0
2020,Alex,16,2.0,16.0
2020,Alex,17,3.0,17.0
2020,Alex,Wild Card,0.0,18.0
2020,Alex,Division,1.0,19.0
2020,Alex,Conf. Champ.,1.0,20.0
2020,Alex,SuperBowl,0.0,21.0
2020,Brandon,1,0.0,1.0
2020,Brandon,2,2.0,2.0
2020,Brandon,3,0.0,3.0
2020,Brandon,4,3.0,4.0
2020,Brandon,5,2.0,5.0
2020,Brandon,6,2.0,6.0
2020,Brandon,7,0.0,7.0
2020,Brandon,8,3.0,8.0
2020,Brandon,9,3.0,9.0
2020,Brandon,10,2.0,10.0
2020,Brandon,11,1.0,11.0
2020,Brandon,12,1.0,12.0
2020,Brandon,13,3.0,13.0
2020,Brandon,14,2.0,14.0
2020,Brandon,15,1.0,15.0
2020,Brandon,16,1.0,16.0
2020,Brandon,17,3.0,17.0
2020,Brandon,Wild Card,1.0,18.0
2020,Brandon,Division,0.0,19.0
2020,Dan,1,0.0,1.0
2020,Dan,2,2.0,2.0
2020,Dan,3,0.0,3.0
2020,Dan,4,1.0,4.0
2020,Dan,5,3.0,5.0
2020,Dan,6,1.0,6.0
2020,Dan,7,2.0,7.0
2020,Dan,8,1.0,8.0
2020,Dan,9,1.0,9.0
2020,Dan,10,1.0,10.0
2020,Dan,11,2.0,11.0
2020,Dan,12,1.0,12.0
2020,Dan,13,0.0,13.0
2020,Dan,14,3.0,14.0
2020,Dan,15,2.0,15.0
2020,Dan,16,1.0,16.0
2020,Dan,17,0.0,17.0
2020,JP,1,0.0,1.0
2020,JP,2,2.0,2.0
2020,JP,3,3.0,3.0
2020,JP,4,1.0,4.0
2020,JP,5,1.0,5.0
2020,JP,6,4.0,6.0
2020,JP,7,3.0,7.0
2020,JP,8,3.0,8.0
2020,JP,9,1.0,9.0
2020,JP,10,4.0,10.0
2020,JP,11,1.0,11.0
2020,JP,12,2.0,12.0
2020,JP,13,1.0,13.0
2020,JP,14,1.0,14.0
2020,JP,15,1.0,15.0
2020,JP,16,2.0,16.0
2020,JP,17,1.0,17.0
2020,JP,Wild Card,1.0,18.0
2020,JP,Division,1.0,19.0
2020,JP,Conf. Champ.,1.0,20.0
2020,JP,SuperBowl,1.0,21.0
2020,Jackson,1,0.0,1.0
2020,Jackson,2,3.0,2.0
2020,Jackson,3,3.0,3.0
2020,Jackson,4,2.0,4.0
2020,Jackson,5,1.0,5.0
2020,Jackson,6,1.0,6.0
2020,Jackson,7,4.0,7.0
2020,Jackson,8,1.0,8.0
2020,Jackson,9,1.0,9.0
2020,Jackson,10,1.0,10.0
2020,Jackson,11,2.0,11.0
2020,Jackson,12,3.0,12.0
2020,Jackson,13,2.0,13.0
2020,Jackson,14,2.0,14.0
2020,Jackson,15,3.0,15.0
2020,Jackson,16,3.0,16.0
2020,Jackson,17,3.0,17.0
2020,Jackson,Wild Card,2.0,18.0
2020,Jackson,Division,1.0,19.0
2020,Jackson,Conf. Champ.,0.0,20.0
2020,Jordan,1,0.0,1.0
2020,Jordan,2,2.0,2.0
2020,Jordan,3,2.0,3.0
2020,Jordan,4,3.0,4.0
2020,Jordan,5,2.0,5.0
2020,Jordan,6,1.0,6.0
2020,Jordan,7,2.0,7.0
2020,Jordan,8,2.0,8.0
2020,Jordan,9,2.0,9.0
2020,Jordan,10,2.0,10.0
2020,Jordan,11,1.0,11.0
2020,Jordan,12,2.0,12.0
2020,Jordan,13,2.0,13.0
2020,Jordan,14,2.0,14.0
2020,Jordan,15,3.0,15.0
2020,Jordan,16,4.0,16.0
2020,Jordan,17,2.0,17.0
2020,Jordan,Wild Card,1.0,18.0
2020,Jordan,Division,1.0,19.0
2020,Jordan,Conf. Champ.,0.0,20.0
2020,Leftover,1,0.0,1.0
2020,Leftover,2,0.0,2.0
2020,Leftover,3,1.0,3.0
2020,Leftover,4,1.0,4.0
2020,Leftover,5,1.0,5.0
2020,Leftover,6,0.0,6.0
2020,Leftover,7,0.0,7.0
2020,Leftover,8,0.0,8.0
2020,Leftover,9,0.0,9.0
2020,Leftover,10,0.0,10.0
2020,Leftover,11,1.0,11.0
2020,Leftover,12,0.0,12.0
2020,Leftover,13,0.0,13.0
2020,Leftover,14,0.0,14.0
2020,Leftover,15,1.0,15.0
2020,Leftover,16,2.0,16.0
2020,Leftover,17,0.0,17.0
2020,Mike,1,0.0,1.0
2020,Mike,2,2.0,2.0
2020,Mike,3,3.0,3.0
2020,Mike,4,1.0,4.0
2020,Mike,5,3.0,5.0
2020,Mike,6,2.0,6.0
2020,Mike,7,1.0,7.0
2020,Mike,8,1.0,8.0
2020,Mike,9,3.0,9.0
2020,Mike,10,3.0,10.0
2020,Mike,11,2.0,11.0
2020,Mike,12,3.0,12.0
2020,Mike,13,3.0,13.0
2020,Mike,14,2.0,14.0
2020,Mike,15,2.0,15.0
2020,Mike,16,1.0,16.0
2020,Mike,17,3.0,17.0
2020,Mike,Wild Card,1.0,18.0
2020,Mike,Division,0.0,19.0
