Year,Player,Win%_Rk,Win,Loss,Tie,Win%,Year,Player,Win_Rk,Win,Loss,Games,Win%,Teams,Year,Player,Win%_Rk,Win,Loss,Tie,Games,Win%
2024,Brandon,1,5,0,0,100.0,2019,Jordan,1,6,2,8,75.0,3,2024,Brandon,1,5,0,0,5,100.0
2024,Mike,2,3,1,0,75.0,2020,JP,2,4,1,5,80.0,2,2024,Mike,2,3,1,0,4,75.0
2020,Alex,3,43,21,0,67.2,2023,Victoria,2,4,1,5,80.0,3,2020,Alex,3,45,24,0,69,65.2
2021,Dan,4,44,24,0,64.7,2021,Jordan,2,4,0,4,100.0,1,2021,Dan,4,45,27,0,72,62.5
2018,Brandon,5,40,24,0,62.5,2017,Jackson,2,4,2,6,66.7,3,2018,Brandon,5,43,27,0,70,61.4
2024,Jordan,6,3,2,0,60.0,2018,Mike,2,4,1,5,80.0,2,2018,Mike,6,42,27,0,69,60.9
2019,Jackson,7,38,26,0,59.4,2021,Leftover,3,3,1,4,75.0,1,2017,Jackson,7,42,28,0,70,60.0
2018,Mike,7,38,26,0,59.4,2020,Jackson,3,3,2,5,60.0,2,2024,Jordan,7,3,2,0,5,60.0
2020,Mike,7,38,26,0,59.4,2018,Brandon,3,3,3,6,50.0,3,2019,Jordan,8,43,28,1,72,59.7
2017,Jackson,7,38,26,0,59.4,2017,Alex,3,3,2,5,60.0,2,2019,Jackson,9,38,27,0,65,58.5
