Year,Player,Round,Pick,Reg_Win,Reg_Loss,Reg_Tie,Reg_Games,Reg_Games_Left,Playoff_Seed,Playoff_Win,Playoff_Loss,Playoff_Games,Total_Win,Total_Loss,Total_Tie,Total_Games,Reg_Win%,Playoff_Win%,Total_Win%,Full_Ssn_Pace,Playoff_Teams
2017,Alex,10,58,30,34,0,64,0,6.0,3.0,2.0,5.0,33.0,36.0,0.0,69.0,46.9,60.0,47.8,30.0,2
2017,Brandon,10,58,36,28,0,64,0,5.0,0.0,1.0,1.0,36.0,29.0,0.0,65.0,56.2,0.0,55.4,36.0,1
2017,Dan,10,58,36,28,0,64,0,6.0,1.0,2.0,3.0,37.0,30.0,0.0,67.0,56.2,33.3,55.2,36.0,2
2017,JP,10,58,36,28,0,64,0,5.0,1.0,2.0,3.0,37.0,30.0,0.0,67.0,56.2,33.3,55.2,36.0,2
2017,Jackson,10,58,38,26,0,64,0,11.0,4.0,2.0,6.0,42.0,28.0,0.0,70.0,59.4,66.7,60.0,38.0,3
2017,Jordan,10,58,26,38,0,64,0,0.0,0.0,0.0,0.0,26.0,38.0,0.0,64.0,40.6,,40.6,26.0,0
2017,Leftover,396,122,24,40,0,64,0,9.0,2.0,2.0,4.0,26.0,42.0,0.0,68.0,37.5,50.0,38.2,24.0,2
2017,Mike,10,58,30,34,0,64,0,0.0,0.0,0.0,0.0,30.0,34.0,0.0,64.0,46.9,,46.9,30.0,0
2018,Alex,10,58,36,27,1,64,0,4.0,1.0,2.0,3.0,37.0,29.0,1.0,67.0,56.2,33.3,55.2,36.0,2
2018,Brandon,10,58,40,24,0,64,0,12.0,3.0,3.0,6.0,43.0,27.0,0.0,70.0,62.5,50.0,61.4,40.0,3
2018,Dan,10,58,31,33,0,64,0,9.0,1.0,2.0,3.0,32.0,35.0,0.0,67.0,48.4,33.3,47.8,31.0,2
2018,JP,10,58,26,37,1,64,0,0.0,0.0,0.0,0.0,26.0,37.0,1.0,64.0,40.6,,40.6,26.0,0
2018,Jackson,10,58,28,36,0,64,0,1.0,1.0,1.0,2.0,29.0,37.0,0.0,66.0,43.8,50.0,43.9,28.0,1
2018,Jordan,10,58,33,30,1,64,0,9.0,1.0,2.0,3.0,34.0,32.0,1.0,67.0,51.6,33.3,50.7,33.0,2
2018,Leftover,396,122,22,41,1,64,0,0.0,0.0,0.0,0.0,22.0,41.0,1.0,64.0,34.4,,34.4,22.0,0
2018,Mike,10,58,38,26,0,64,0,7.0,4.0,1.0,5.0,42.0,27.0,0.0,69.0,59.4,80.0,60.9,38.0,2
2019,Alex,10,58,31,32,1,64,0,5.0,2.0,2.0,4.0,33.0,34.0,1.0,68.0,48.4,50.0,48.5,31.0,2
2019,Brandon,10,58,31,33,0,64,0,6.0,1.0,1.0,2.0,32.0,34.0,0.0,66.0,48.4,50.0,48.5,31.0,1
2019,Dan,10,58,33,31,0,64,0,5.0,1.0,2.0,3.0,34.0,33.0,0.0,67.0,51.6,33.3,50.7,33.0,2
2019,JP,10,58,36,28,0,64,0,7.0,1.0,2.0,3.0,37.0,30.0,0.0,67.0,56.2,33.3,55.2,36.0,2
2019,Jackson,10,58,38,26,0,64,0,1.0,0.0,1.0,1.0,38.0,27.0,0.0,65.0,59.4,0.0,58.5,38.0,1
2019,Jordan,10,58,37,26,1,64,0,13.0,6.0,2.0,8.0,43.0,28.0,1.0,72.0,57.8,75.0,59.7,37.0,3
2019,Leftover,396,122,19,45,0,64,0,0.0,0.0,0.0,0.0,19.0,45.0,0.0,64.0,29.7,,29.7,19.0,0
2019,Mike,10,58,30,34,0,64,0,5.0,0.0,1.0,1.0,30.0,35.0,0.0,65.0,46.9,0.0,46.2,30.0,1
2020,Alex,10,58,43,21,0,64,0,11.0,2.0,3.0,5.0,45.0,24.0,0.0,69.0,67.2,40.0,65.2,43.0,3
2020,Brandon,10,58,31,33,0,64,0,5.0,1.0,1.0,2.0,32.0,34.0,0.0,66.0,48.4,50.0,48.5,31.0,1
2020,Dan,10,58,22,41,1,64,0,0.0,0.0,0.0,0.0,22.0,41.0,1.0,64.0,34.4,,34.4,22.0,0
2020,JP,10,58,32,32,0,64,0,8.0,4.0,1.0,5.0,36.0,33.0,0.0,69.0,50.0,80.0,52.2,32.0,2
2020,Jackson,10,58,37,27,0,64,0,8.0,3.0,2.0,5.0,40.0,29.0,0.0,69.0,57.8,60.0,58.0,37.0,2
2020,Jordan,10,58,37,26,1,64,0,10.0,2.0,3.0,5.0,39.0,29.0,1.0,69.0,57.8,40.0,56.5,37.0,3
2020,Leftover,396,122,15,49,0,64,0,4.0,0.0,0.0,0.0,15.0,49.0,0.0,64.0,23.4,,23.4,15.0,1
2020,Mike,10,58,38,26,0,64,0,10.0,1.0,2.0,3.0,39.0,28.0,0.0,67.0,59.4,33.3,58.2,38.0,2
2021,Alex,10,58,30,17,1,48,20,0.0,0.0,0.0,0.0,30.0,17.0,1.0,48.0,62.5,,62.5,42.5,0
2021,Brandon,10,58,26,24,0,50,18,0.0,0.0,0.0,0.0,26.0,24.0,0.0,50.0,52.0,,52.0,35.36,0
2021,Dan,10,58,28,20,0,48,20,0.0,0.0,0.0,0.0,28.0,20.0,0.0,48.0,58.3,,58.3,39.66666666666667,0
2021,JP,10,58,23,26,0,49,19,0.0,0.0,0.0,0.0,23.0,26.0,0.0,49.0,46.9,,46.9,31.918367346938776,0
2021,Jackson,10,58,25,23,0,48,20,0.0,0.0,0.0,0.0,25.0,23.0,0.0,48.0,52.1,,52.1,35.41666666666667,0
2021,Jordan,10,58,22,26,0,48,20,0.0,0.0,0.0,0.0,22.0,26.0,0.0,48.0,45.8,,45.8,31.166666666666664,0
2021,Leftover,396,122,12,35,1,48,20,0.0,0.0,0.0,0.0,12.0,35.0,1.0,48.0,25.0,,25.0,17.0,0
2021,Mike,10,58,27,22,0,49,19,0.0,0.0,0.0,0.0,27.0,22.0,0.0,49.0,55.1,,55.1,37.469387755102034,0
