Year,Player,Week,WoW_Wins,Week_Int
2019,Alex,1,0.0,1.0
2019,Alex,2,3.0,2.0
2019,Alex,3,2.0,3.0
2019,Alex,4,2.0,4.0
2019,Alex,5,2.0,5.0
2019,Alex,6,1.0,6.0
2019,Alex,7,1.0,7.0
2019,Alex,8,3.0,8.0
2019,Alex,9,1.0,9.0
2019,Alex,10,2.0,10.0
2019,Alex,11,2.0,11.0
2019,Alex,12,2.0,12.0
2019,Alex,13,0.0,13.0
2019,Alex,14,3.0,14.0
2019,Alex,15,1.0,15.0
2019,Alex,16,2.0,16.0
2019,Alex,17,2.0,17.0
2019,Alex,Wild Card,0.0,18.0
2019,Alex,Division,1.0,19.0
2019,Alex,Conf. Champ.,1.0,20.0
2019,Alex,SuperBowl,0.0,21.0
2019,Brandon,1,0.0,1.0
2019,Brandon,2,0.0,2.0
2019,Brandon,3,2.0,3.0
2019,Brandon,4,2.0,4.0
2019,Brandon,5,1.0,5.0
2019,Brandon,6,3.0,6.0
2019,Brandon,7,2.0,7.0
2019,Brandon,8,3.0,8.0
2019,Brandon,9,1.0,9.0
2019,Brandon,10,3.0,10.0
2019,Brandon,11,2.0,11.0
2019,Brandon,12,2.0,12.0
2019,Brandon,13,1.0,13.0
2019,Brandon,14,3.0,14.0
2019,Brandon,15,2.0,15.0
2019,Brandon,16,1.0,16.0
2019,Brandon,17,2.0,17.0
2019,Brandon,Wild Card,1.0,18.0
2019,Brandon,Division,0.0,19.0
2019,Dan,1,0.0,1.0
2019,Dan,2,1.0,2.0
2019,Dan,3,3.0,3.0
2019,Dan,4,2.0,4.0
2019,Dan,5,3.0,5.0
2019,Dan,6,3.0,6.0
2019,Dan,7,2.0,7.0
2019,Dan,8,2.0,8.0
2019,Dan,9,1.0,9.0
2019,Dan,10,1.0,10.0
2019,Dan,11,1.0,11.0
2019,Dan,12,1.0,12.0
2019,Dan,13,3.0,13.0
2019,Dan,14,1.0,14.0
2019,Dan,15,2.0,15.0
2019,Dan,16,2.0,16.0
2019,Dan,17,3.0,17.0
2019,Dan,Wild Card,0.0,18.0
2019,Dan,Division,1.0,19.0
2019,Dan,Conf. Champ.,0.0,20.0
2019,JP,1,0.0,1.0
2019,JP,2,4.0,2.0
2019,JP,3,3.0,3.0
2019,JP,4,1.0,4.0
2019,JP,5,3.0,5.0
2019,JP,6,2.0,6.0
2019,JP,7,2.0,7.0
2019,JP,8,3.0,8.0
2019,JP,9,0.0,9.0
2019,JP,10,2.0,10.0
2019,JP,11,3.0,11.0
2019,JP,12,2.0,12.0
2019,JP,13,1.0,13.0
2019,JP,14,1.0,14.0
2019,JP,15,3.0,15.0
2019,JP,16,4.0,16.0
2019,JP,17,1.0,17.0
2019,JP,Wild Card,1.0,18.0
2019,JP,Division,0.0,19.0
2019,Jackson,1,0.0,1.0
2019,Jackson,2,3.0,2.0
2019,Jackson,3,2.0,3.0
2019,Jackson,4,1.0,4.0
2019,Jackson,5,2.0,5.0
2019,Jackson,6,1.0,6.0
2019,Jackson,7,3.0,7.0
2019,Jackson,8,1.0,8.0
2019,Jackson,9,3.0,9.0
2019,Jackson,10,2.0,10.0
2019,Jackson,11,4.0,11.0
2019,Jackson,12,1.0,12.0
2019,Jackson,13,2.0,13.0
2019,Jackson,14,2.0,14.0
2019,Jackson,15,2.0,15.0
2019,Jackson,16,2.0,16.0
2019,Jackson,17,3.0,17.0
2019,Jackson,Division,0.0,19.0
2019,Jordan,1,0.0,1.0
2019,Jordan,2,2.0,2.0
2019,Jordan,3,1.0,3.0
2019,Jordan,4,3.0,4.0
2019,Jordan,5,2.0,5.0
2019,Jordan,6,2.0,6.0
2019,Jordan,7,3.0,7.0
2019,Jordan,8,2.0,8.0
2019,Jordan,9,2.0,9.0
2019,Jordan,10,2.0,10.0
2019,Jordan,11,1.0,11.0
2019,Jordan,12,2.0,12.0
2019,Jordan,13,3.0,13.0
2019,Jordan,14,2.0,14.0
2019,Jordan,15,3.0,15.0
2019,Jordan,16,2.0,16.0
2019,Jordan,17,2.0,17.0
2019,Jordan,Wild Card,2.0,18.0
2019,Jordan,Division,2.0,19.0
2019,Jordan,Conf. Champ.,1.0,20.0
2019,Jordan,SuperBowl,1.0,21.0
2019,Leftover,1,0.0,1.0
2019,Leftover,2,1.0,2.0
2019,Leftover,3,1.0,3.0
2019,Leftover,4,2.0,4.0
2019,Leftover,5,0.0,5.0
2019,Leftover,6,0.0,6.0
2019,Leftover,7,0.0,7.0
2019,Leftover,8,0.0,8.0
2019,Leftover,9,1.0,9.0
2019,Leftover,10,2.0,10.0
2019,Leftover,11,0.0,11.0
2019,Leftover,12,1.0,12.0
2019,Leftover,13,2.0,13.0
2019,Leftover,14,1.0,14.0
2019,Leftover,15,2.0,15.0
2019,Leftover,16,2.0,16.0
2019,Leftover,17,1.0,17.0
2019,Mike,1,0.0,1.0
2019,Mike,2,2.0,2.0
2019,Mike,3,2.0,3.0
2019,Mike,4,2.0,4.0
2019,Mike,5,2.0,5.0
2019,Mike,6,1.0,6.0
2019,Mike,7,1.0,7.0
2019,Mike,8,1.0,8.0
2019,Mike,9,2.0,9.0
2019,Mike,10,2.0,10.0
2019,Mike,11,1.0,11.0
2019,Mike,12,2.0,12.0
2019,Mike,13,3.0,13.0
2019,Mike,14,3.0,14.0
2019,Mike,15,1.0,15.0
2019,Mike,16,1.0,16.0
2019,Mike,17,2.0,17.0
2019,Mike,Wild Card,0.0,18.0
